기준_년,기준_분기,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,geometry,총_유동인구_수,당월_매출_금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,총_직장_인구_수,집객시설_수,총_상주인구_수,총_가구_수,월_평균_소득_금액,지출_총금액
2021,1,골목상권,3110955,논현초등학교,11680.0,강남구,11680521.0,논현1동,190913.0,"POLYGON ((202740.3376 445697.1369, 202757.2976 445685.259400001, 202776.1656 445672.0448, 202808.7827 445586.129000001, 202827.2044 445537.605599999, 202841.8579 445499.007200001, 202782.7719 445468.4626, 202706.3491 445428.954600001, 202719.9046 445393.599099999, 202841.8168 445439.251700001, 202851.5242 445413.424799999, 202856.5143 445400.1483, 202859.3741 445392.53979999904, 202876.0861 445348.076099999, 202844.4155 445336.089600001, 202815.2909 445325.0672, 202785.4663 445313.7799, 202754.9378 445302.22540000104, 202729.6101 445292.639900001, 202726.6497 445291.5195, 202712.3809 445286.1193, 202657.9958 445265.53680000105, 202636.8747 445257.54329999903, 202604.1769 445245.168400001, 202533.9429 445218.3936, 202515.8583 445265.026799999, 202503.3299 445297.3334, 202393.9023 445325.5744, 202392.1884 445382.254899999, 202390.4615 445439.3244, 202389.7892 445457.1373, 202386.7109 445478.07399999903, 202380.1338 445492.242799999, 202372.4176 445507.22760000103, 202366.0424 445515.7774, 202359.5935 445522.1522, 202352.2064 445528.3411, 202323.8452 445551.123400001, 202350.3565 445584.0616, 202308.5013 445617.4186, 202313.5368 445623.6908, 202326.5548 445639.906, 202330.9277 445645.35280000104, 202373.0649 445612.273700001, 202403.795 445650.4519, 202436.1151 445624.261700001, 202457.3735 445650.53680000105, 202509.1971 445714.5891, 202540.0823 445689.5507, 202570.8524 445727.465, 202603.1315 445767.2382, 202662.1206 445792.505899999, 202692.6502 445805.370300001, 202696.0011 445806.78229999903, 202723.4187 445818.3347, 202725.4997 445815.3268, 202748.9287 445746.5447, 202722.5515 445709.59259999904, 202740.3376 445697.1369))",2832154.0,2159551625.0,2.0,14.0,0.0,0.0,14.0,2.0,12.0,3430.0,12.0,7026.0,4495.0,2909460.0,4481561126.0
2021,1,골목상권,3110957,언북중학교,11680.0,강남구,11680531.0,논현2동,94815.0,"POLYGON ((202792.4821 446690.2577, 202807.2995 446653.575200001, 202863.0867 446675.809, 202887.4175 446615.560799999, 202915.8124 446545.2479, 202917.1833 446487.83940000104, 202918.0231 446452.680400001, 202920.2874 446357.862400001, 202938.7471 446365.070699999, 202972.4566 446378.2333, 202981.4886 446379.496300001, 202999.9306 446303.9462, 202955.0191 446293.2545, 202911.5517 446282.9059, 202866.1982 446272.1083, 202844.5415 446328.285499999, 202784.9713 446305.024800001, 202727.5372 446282.598099999, 202693.7657 446269.41159999906, 202688.5127 446283.3497, 202678.9149 446308.816299999, 202666.3617 446342.124500001, 202724.5549 446363.5502, 202724.537 446364.04130000103, 202720.8125 446391.92, 202719.6753 446400.4319, 202714.9282 446410.5528, 202608.4347 446370.59180000104, 202607.924 446371.971000001, 202598.6226 446397.0495, 202702.8359 446436.3343, 202698.2798 446446.0482, 202689.3806 446465.0208, 202684.8704 446474.637700001, 202674.9602 446495.7674, 202661.0728 446525.3749, 202625.6013 446511.2415, 202623.2023 446510.285399999, 202612.9421 446537.3193, 202649.2505 446550.58060000103, 202647.6055 446554.0875, 202642.2393 446565.5273, 202633.4411 446584.285, 202628.1429 446595.58080000104, 202624.8309 446602.6417, 202699.0535 446631.89550000103, 202744.2531 446649.7103, 202736.7829 446668.2009, 202792.4821 446690.2577))",822658.0,698553091.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1251.0,7.0,1761.0,1088.0,3496418.0,1591782820.0
2021,1,골목상권,3110961,언주역 3번,11680.0,강남구,11680531.0,논현2동,63031.0,"POLYGON ((202926.7408 445898.4563, 202948.3845 445840.72609999997, 202955.9263 445843.5107, 202995.1368 445857.9877, 203027.3034 445869.8642, 203057.261 445880.9256, 203064.8442 445857.8179, 203076.6158 445821.9504, 203087.4972 445788.7938, 203101.0438 445750.4583, 203111.1691 445728.6777, 203138.9048 445671.147600001, 203162.0143 445626.09029999905, 203225.9631 445542.6571, 203197.3635 445531.898700001, 203176.0128 445523.8674, 203163.6269 445519.2082, 203136.5703 445509.0299, 203119.9668 445553.0713, 203033.3371 445521.2226, 203008.0493 445511.925799999, 202998.7254 445536.90410000103, 202992.0268 445554.849199999, 203103.3152 445597.2426, 203083.3105 445650.3069, 203035.3572 445632.338199999, 203003.2581 445620.309699999, 202971.9681 445608.5844, 202956.8456 445649.096899999, 202932.6547 445713.902899999, 202926.9745 445729.04869999905, 202914.8491 445761.3813, 202901.6326 445796.6207, 202892.7903 445820.1994, 202882.1129 445848.669, 202871.3136 445877.4636, 202861.4692 445903.713199999, 202854.0533 445923.487199999, 202885.4931 445935.46660000103, 202877.1508 445955.243799999, 202893.582 445961.2413, 202902.0897 445964.3467, 202929.2039 445899.3892, 202926.7408 445898.4563))",1024371.0,612121987.0,1.0,4.0,0.0,0.0,25.0,1.0,3.0,962.0,1.0,2120.0,1314.0,3318129.0,1444220522.0
2021,1,골목상권,3110965,언주역 6번,11680.0,강남구,11680640.0,역삼1동,65108.0,"POLYGON ((203537.013 445142.2903, 203509.8584 445132.255999999, 203496.0952 445127.17039999895, 203474.1527 445119.0625, 203449.2943 445109.8772, 203373.5353 445081.884199999, 203353.9896 445137.749399999, 203315.6731 445123.467, 203278.0116 445109.429400001, 203250.902 445099.32399999903, 203242.2412 445090.86700000096, 203228.7356 445077.6789, 203210.9008 445071.0407, 203177.3753 445058.562200001, 203152.0034 445126.4463, 203126.5455 445194.5582, 203158.854 445206.568700001, 203188.6286 445217.6371, 203219.5892 445229.146500001, 203249.2267 445240.16389999905, 203287.8322 445254.5154, 203350.1453 445277.680299999, 203325.1395 445343.7753, 203419.3917 445343.685799999, 203443.651 445312.442500001, 203490.0756 445252.651699999, 203528.4471 445203.2348, 203567.1276 445153.4178, 203537.013 445142.2903))",856519.0,554082619.0,0.0,6.0,17.0,1.0,0.0,0.0,6.0,1139.0,0.0,2245.0,1500.0,3218797.0,1570369626.0
2021,1,골목상권,3110971,선정릉역 4번,11680.0,강남구,11680640.0,역삼1동,133222.0,"POLYGON ((203543.1798 445522.33070000104, 203573.53 445437.6776, 203604.2425 445449.016000001, 203630.6962 445458.783299999, 203657.2948 445468.60270000104, 203674.7815 445475.058900001, 203684.2634 445478.516000001, 203723.2306 445492.72399999906, 203737.23070000001 445497.8287, 203747.6199 445501.6165, 203776.6211 445512.190199999, 203826.2859 445499.7831, 203837.3655 445461.658600001, 203842.1236 445445.284800001, 203845.7928 445432.661, 203887.907 445400.321900001, 203990.0995 445321.85019999905, 204083.3029 445250.314300001, 204129.786 445214.6373, 204135.6651 445212.8784, 204113.1097 445182.973300001, 204089.6064 445151.8202, 204033.1132 445195.0539, 204021.6776 445176.5119, 204019.7996 445173.4669, 203992.6105 445129.379799999, 203977.5426 445132.683599999, 203948.0177 445139.158, 203924.8419 445144.23960000096, 203918.5708 445147.114499999, 203904.8609 445088.4847, 203873.0771 445095.7382, 203843.9492 445102.3846, 203841.2962 445102.989499999, 203814.4053 445109.1261, 203796.8994 445113.1207, 203785.1394 445115.804500001, 203753.0336 445123.130999999, 203752.9986 445123.175899999, 203692.1848 445201.34940000105, 203685.8718 445209.5352, 203722.032 445236.910599999, 203722.184 445237.0306, 203789.8976 445290.497199999, 203771.6645 445304.5558, 203724.8433 445340.6577, 203703.6956 445332.71859999903, 203663.1192 445317.4859, 203659.4283 445316.0999, 203615.6759 445299.6743, 203568.3762 445360.4671, 203544.1389 445391.6184, 203481.2032 445367.3124, 203432.1401 445436.21639999904, 203401.5066 445470.08269999904, 203418.5097 445476.354800001, 203468.0704 445494.630100001, 203469.6839 445495.22509999905, 203543.1798 445522.33070000104))",1009456.0,1819935408.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1542.0,1.0,3870.0,2549.0,3432046.0,3043232760.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,46603.0,"POLYGON ((203673.6731 444013.3288, 203698.38 443946.2547, 203728.5555 443957.5481, 203746.7273 443964.348300001, 203758.6482 443968.8105, 203790.8027 443980.843900001, 203815.2456 443915.277899999, 203845.5862 443926.623400001, 203868.5838 443935.2227, 203870.9678 443936.113700001, 203902.8974 443948.053099999, 203916.3332 443953.077299999, 203937.354 443960.9376, 203990.0661 443980.6481, 203976.5049 443938.8923, 203959.9778 443888.0034, 203909.3276 443868.48980000097, 203883.4449 443858.5174, 203878.036 443856.4333, 203864.68 443851.287799999, 203842.3136 443842.671, 203811.3399 443830.6986, 203777.3359 443817.5539, 203775.6264 443816.892999999, 203757.0005 443809.693299999, 203749.7188 443806.8786, 203722.1022 443796.203400001, 203644.2226 443812.671, 203631.7241 443846.3135, 203607.2643 443912.15650000103, 203600.2462 443931.0493, 203582.4694 443978.899599999, 203602.2263 443986.357799999, 203620.8178 443993.3761, 203639.1658 444000.3024, 203653.4736 444005.703500001, 203673.6731 444013.3288))",299518.0,204810369.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2628.0,4.0,1921.0,1003.0,3347336.0,1056500384.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,55724.0,"POLYGON ((204092.6716 447056.1207, 204104.7026 447049.8389, 204113.6864 447059.183, 204138.5564 447046.0265, 204132.6246 447034.9915, 204136.6141 447008.209799999, 204156.162 446999.528200001, 204167.323 446994.5714, 204200.255 446979.945, 204179.2699 446932.652100001, 204168.8487 446909.1677, 204162.7752 446895.48090000096, 204161.3094 446892.1774, 204164.5019 446890.84139999904, 204178.2989 446884.185699999, 204164.7524 446854.4048, 204163.4292 446850.65399999905, 204146.2394 446858.2152, 204129.2042 446819.825200001, 204115.7867 446789.587200001, 204105.85080000001 446787.3476, 204096.114 446835.22770000104, 204085.1643 446840.3244, 204060.7995 446833.998, 204053.4187 446867.3309, 204034.9338 446950.810699999, 203993.2762 446958.78879999905, 203977.2756 446883.470899999, 203975.3645 446874.475299999, 203965.3697 446827.4296, 203964.2145 446821.9915, 203952.8584 446768.5348, 203947.4958 446743.291999999, 203859.7863 446762.9323, 203865.1917 446788.315199999, 203876.5265 446841.53790000104, 203887.506 446893.09170000104, 203906.348 446981.5667, 203941.0741 446974.4422, 203973.1485 446967.7205, 203987.0969 447033.7752, 203992.1986 447043.380200001, 203987.9092 447071.3709, 204027.6298 447077.580499999, 204087.5092 447086.941400001, 204092.6716 447056.1207))",762624.0,338812366.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,578.0,2.0,2022.0,1080.0,3250531.0,1119489213.0
2021,1,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,17288.0,"POLYGON ((204179.0836 441930.24090000096, 204153.4722 441909.03869999904, 204045.795 442038.899900001, 204082.3376 442047.011299999, 204115.4632 442054.36480000097, 204148.4048 442061.6763, 204185.7193 442069.959799999, 204250.7731 441989.5886, 204225.2207 441968.4353, 204202.0482 441949.252, 204179.0836 441930.24090000096))",125341.0,352006631.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,148.0,0.0,691.0,340.0,2809700.0,275630230.0
2021,1,골목상권,3110981,국악고교사거리,11680.0,강남구,11680690.0,개포4동,67409.0,"POLYGON ((204374.6361 441640.827299999, 204320.90350000001 441596.3201, 204309.4585 441610.159800001, 204293.028 441630.01940000104, 204291.1969 441632.2282, 204312.9201 441650.1593, 204243.6192 441733.4813, 204227.8741 441752.41200000106, 204212.8187 441770.6415, 204147.7492 441849.42909999896, 204180.2595 441876.192299999, 204212.9388 441903.0946, 204246.3631 441930.6099, 204277.65840000001 441956.373299999, 204315.2116 441987.28759999905, 204378.9304 441910.076199999, 204395.0447 441890.5496, 204409.6428 441872.861, 204433.083 441844.45560000103, 204460.1033 441811.713300001, 204504.7973 441757.55529999896, 204509.1668 441752.260600001, 204449.8444 441703.123199999, 204408.7431 441669.078500001, 204374.6361 441640.827299999))",448677.0,879871101.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,361.0,4.0,2118.0,907.0,3081543.0,895864770.0
2021,1,골목상권,3110984,포이초등학교(개포목련어린이공원),11680.0,강남구,11680690.0,개포4동,137098.0,"POLYGON ((204866.8079 441716.1172, 204880.6796 441708.628000001, 204915.3854 441651.543199999, 204904.8461 441644.443399999, 204892.1116 441635.8649, 204884.2277 441630.490700001, 204872.8505 441622.735400001, 204865.6593 441617.8336, 204839.3158 441599.67720000097, 204821.0596 441584.5056, 204814.7222 441579.2391, 204808.3583 441573.945499999, 204790.1139 441558.7699, 204745.034 441521.4133, 204731.7201 441510.3804, 204718.459 441499.3913, 204705.1052 441488.3254, 204681.4209 441468.698799999, 204678.8662 441466.58180000103, 204642.9984 441437.4518, 204630.9691 441427.682399999, 204550.4946 441362.3246, 204535.353 441380.8157, 204527.4505 441374.30529999896, 204527.4016 441374.309900001, 204502.5605 441376.66499999905, 204493.47580000001 441387.649, 204422.1109 441473.9341, 204409.0196 441489.762499999, 204407.123 441492.056299999, 204405.1995 441494.382400001, 204352.9288 441557.601, 204351.2479 441559.6338, 204349.1088 441562.220899999, 204332.5387 441582.250499999, 204320.90350000001 441596.3201, 204374.6361 441640.827299999, 204408.7431 441669.078500001, 204449.8444 441703.123199999, 204509.1668 441752.260600001, 204518.972 441740.357899999, 204535.6761 441727.702199999, 204546.722 441722.04649999907, 204555.066 441719.1086, 204576.8789 441714.797, 204588.8748 441714.8512, 204598.4307 441716.15729999903, 204609.8806 441719.032500001, 204622.6594 441724.2037, 204631.7353 441729.5198, 204642.518 441737.8599, 204643.3186 441738.491, 204757.35570000001 441828.386, 204765.828 441802.596899999, 204779.2741 441786.954700001, 204802.4801 441761.3397, 204822.4904 441738.5823, 204851.3865 441724.1742, 204857.9019 441720.9255, 204866.8079 441716.1172))",909202.0,770055585.0,0.0,5.0,0.0,0.0,20.0,1.0,5.0,1556.0,9.0,4267.0,1912.0,3091267.0,1995713025.0
